county,precinct,office,district,candidate,party,votes,election_day,early_voting,central_count
La Paz,056 WENDEN,U.S. Senate,,"KIRKPATRICK, ANN",DEM,25,8,13,4
La Paz,056 WENDEN,U.S. Senate,,"SWING, GARY",GRN,13,5,6,2
La Paz,056 WENDEN,U.S. Senate,,Write-in,,0,0,0,0
La Paz,056 WENDEN,U.S. House,4,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,U.S. House,4,Times Counted,,119,45,55,19
La Paz,056 WENDEN,U.S. House,4,Times Blank Voted,,8,5,3,0
La Paz,056 WENDEN,U.S. House,4,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,U.S. House,4,"GOSAR, PAUL",REP,82,30,42,10
La Paz,056 WENDEN,U.S. House,4,"WEISSER, MIKEL",DEM,29,10,10,9
La Paz,056 WENDEN,U.S. House,4,Write-in,,0,0,0,0
La Paz,056 WENDEN,State Senate,5,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,State Senate,5,Times Counted,,119,45,55,19
La Paz,056 WENDEN,State Senate,5,Times Blank Voted,,41,17,21,3
La Paz,056 WENDEN,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,State Senate,5,"BORRELLI, SONNY",REP,77,28,34,15
La Paz,056 WENDEN,State Senate,5,Write-in 20,,1,0,0,1
La Paz,056 WENDEN,State Representative,5,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,State Representative,5,Times Counted,,119,45,55,19
La Paz,056 WENDEN,State Representative,5,Times Blank Voted,,15,9,6,0
La Paz,056 WENDEN,State Representative,5,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,State Representative,5,Number of Under Votes,,44,13,19,12
La Paz,056 WENDEN,State Representative,5,"COBB, REGINA",REP,58,23,25,10
La Paz,056 WENDEN,State Representative,5,"MOSLEY, PAUL",REP,68,25,34,9
La Paz,056 WENDEN,State Representative,5,"WEISSER, BETH",DEM,29,10,13,6
La Paz,056 WENDEN,State Representative,5,"BIASIUCCI, LEO",GRN,9,1,7,1
La Paz,056 WENDEN,State Representative,5,Write-in 60,,0,0,0,0
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,Times Counted,,119,45,55,19
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,Times Blank Voted,,20,12,8,0
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,Number of Under Votes,,69,18,31,20
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,62,24,28,10
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,56,23,25,8
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,65,25,31,9
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,20,3,15,2
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,25,6,11,8
La Paz,056 WENDEN,Corporation Commissioner (Elect 3),,Write-in 80,,0,0,0,0
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,Times Blank Voted,,6,3,2,1
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,"IRWIN, HOLLY",REP,59,20,30,9
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,"ZAKRAJSEK, GARY",IND,54,22,23,9
La Paz,056 WENDEN,Board of Supervisors Dist. 3,,Write-in 30,,0,0,0,0
La Paz,056 WENDEN,County Attorney,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,County Attorney,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,County Attorney,,Times Blank Voted,,11,5,6,0
La Paz,056 WENDEN,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,County Attorney,,"FIELD, KATHY",REP,65,22,34,9
La Paz,056 WENDEN,County Attorney,,"ROGERS, TONY",DEM,43,18,15,10
La Paz,056 WENDEN,County Attorney,,Write-in 30,,0,0,0,0
La Paz,056 WENDEN,Sheriff,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,Sheriff,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,Sheriff,,Times Blank Voted,,8,4,4,0
La Paz,056 WENDEN,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,Sheriff,,"RISEN, WILLIAM",REP,77,27,38,12
La Paz,056 WENDEN,Sheriff,,"VIDRINE, FRANK",DEM,34,14,13,7
La Paz,056 WENDEN,Sheriff,,Write-in 30,,0,0,0,0
La Paz,056 WENDEN,County Treasurer,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,County Treasurer,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,County Treasurer,,Times Blank Voted,,30,13,14,3
La Paz,056 WENDEN,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,County Treasurer,,"CASTRO, LEAH",REP,88,32,41,15
La Paz,056 WENDEN,County Treasurer,,Write-in 20,,1,0,0,1
La Paz,056 WENDEN,County School Superintendent,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,County School Superintendent,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,County School Superintendent,,Times Blank Voted,,10,4,6,0
La Paz,056 WENDEN,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,County School Superintendent,,"PRICE, JACQULINE",REP,64,23,31,10
La Paz,056 WENDEN,County School Superintendent,,"HEREDIA, ARMANDO",DEM,44,17,18,9
La Paz,056 WENDEN,County School Superintendent,,Write-in 30,,1,1,0,0
La Paz,056 WENDEN,County Recorder,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,County Recorder,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,County Recorder,,Times Blank Voted,,32,15,14,3
La Paz,056 WENDEN,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,County Recorder,,"BAKER, SHELLY",REP,85,30,40,15
La Paz,056 WENDEN,County Recorder,,Write-in 20,,2,0,1,1
La Paz,056 WENDEN,County Assessor,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,County Assessor,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,County Assessor,,Times Blank Voted,,23,9,13,1
La Paz,056 WENDEN,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,County Assessor,,"CAMACHO, ANNA",REP,94,36,41,17
La Paz,056 WENDEN,County Assessor,,Write-in 20,,2,0,1,1
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,Times Counted,,119,45,55,19
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,Times Blank Voted,,36,17,14,5
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,YES,,59,21,28,10
La Paz,056 WENDEN,"Retain Justice TIMMER, ANN",,NO,,24,7,13,4
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,119,45,55,19
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,37,18,14,5
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,YES,,61,20,30,11
La Paz,056 WENDEN,"Retain Judge BROWN, MICHAEL J.",,NO,,21,7,11,3
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,Times Counted,,119,45,55,19
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,Times Blank Voted,,34,16,13,5
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,YES,,62,21,31,10
La Paz,056 WENDEN,"Retain Judge JONES, KENTON",,NO,,23,8,11,4
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,Times Counted,,119,45,55,19
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,36,17,14,5
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,YES,,59,22,27,10
La Paz,056 WENDEN,"Retain Judge THOMPSON, JON W.",,NO,,24,6,14,4
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,Times Blank Voted,,11,6,4,1
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,YES,,40,14,19,7
La Paz,056 WENDEN,Wenden Maintenance and Operation Budget,,NO,,68,25,32,11
La Paz,056 WENDEN,Proposition 205,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,Proposition 205,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,Proposition 205,,Times Blank Voted,,4,2,2,0
La Paz,056 WENDEN,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,Proposition 205,,YES,,46,16,19,11
La Paz,056 WENDEN,Proposition 205,,NO,,69,27,34,8
La Paz,056 WENDEN,Proposition 206,,Registered Voters,,198,0,0,0
La Paz,056 WENDEN,Proposition 206,,Times Counted,,119,45,55,19
La Paz,056 WENDEN,Proposition 206,,Times Blank Voted,,4,2,2,0
La Paz,056 WENDEN,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,056 WENDEN,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,056 WENDEN,Proposition 206,,YES,,61,23,30,8
La Paz,056 WENDEN,Proposition 206,,NO,,54,20,23,11
La Paz,057 SALOME,President,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,President,,Times Counted,,608,164,342,102
La Paz,057 SALOME,President,,Times Blank Voted,,4,1,2,1
La Paz,057 SALOME,President,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,President,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,President,,TRUMP / PENCE,REP,461,119,264,78
La Paz,057 SALOME,President,,CLINTON / KAINE,DEM,121,38,64,19
La Paz,057 SALOME,President,,JOHNSON / WELD,LIB,13,6,3,4
La Paz,057 SALOME,President,,STEIN / BARAKA,GRN,0,0,0,0
La Paz,057 SALOME,President,,Write-in,,9,0,9,0
La Paz,057 SALOME,U.S. Senate,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,U.S. Senate,,Times Counted,,608,164,342,102
La Paz,057 SALOME,U.S. Senate,,Times Blank Voted,,28,6,12,10
La Paz,057 SALOME,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,U.S. Senate,,"MCCAIN, JOHN",REP,394,105,224,65
La Paz,057 SALOME,U.S. Senate,,"KIRKPATRICK, ANN",DEM,124,36,66,22
La Paz,057 SALOME,U.S. Senate,,"SWING, GARY",GRN,53,14,35,4
La Paz,057 SALOME,U.S. Senate,,Write-in,,9,3,5,1
La Paz,057 SALOME,U.S. House,4,Registered Voters,,781,0,0,0
La Paz,057 SALOME,U.S. House,4,Times Counted,,608,164,342,102
La Paz,057 SALOME,U.S. House,4,Times Blank Voted,,36,16,12,8
La Paz,057 SALOME,U.S. House,4,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,U.S. House,4,"GOSAR, PAUL",REP,441,112,256,73
La Paz,057 SALOME,U.S. House,4,"WEISSER, MIKEL",DEM,130,36,73,21
La Paz,057 SALOME,U.S. House,4,Write-in,,1,0,1,0
La Paz,057 SALOME,State Senate,5,Registered Voters,,781,0,0,0
La Paz,057 SALOME,State Senate,5,Times Counted,,608,164,342,102
La Paz,057 SALOME,State Senate,5,Times Blank Voted,,215,64,110,41
La Paz,057 SALOME,State Senate,5,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,State Senate,5,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,State Senate,5,"BORRELLI, SONNY",REP,385,98,228,59
La Paz,057 SALOME,State Senate,5,Write-in 20,,8,2,4,2
La Paz,057 SALOME,State Representative,5,Registered Voters,,781,0,0,0
La Paz,057 SALOME,State Representative,5,Times Counted,,608,164,342,102
La Paz,057 SALOME,State Representative,5,Times Blank Voted,,64,27,22,15
La Paz,057 SALOME,State Representative,5,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,State Representative,5,Number of Under Votes,,206,51,121,34
La Paz,057 SALOME,State Representative,5,"COBB, REGINA",REP,333,76,203,54
La Paz,057 SALOME,State Representative,5,"MOSLEY, PAUL",REP,360,89,217,54
La Paz,057 SALOME,State Representative,5,"WEISSER, BETH",DEM,136,40,69,27
La Paz,057 SALOME,State Representative,5,"BIASIUCCI, LEO",GRN,52,18,29,5
La Paz,057 SALOME,State Representative,5,Write-in 60,,1,0,1,0
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,Registered Voters,,781,0,0,0
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,Times Counted,,608,164,342,102
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,Times Blank Voted,,70,25,29,16
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,Number of Under Votes,,345,97,204,44
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,"BURNS, ROBERT \BOB\""""",REP,348,82,208,58
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,"DUNN, BOYD",REP,313,72,194,47
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,"TOBIN, ANDY",REP,349,87,204,58
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,"CHABIN, TOM",DEM,122,35,61,26
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,"MUNDELL, WILLIAM",DEM,135,44,66,25
La Paz,057 SALOME,Corporation Commissioner (Elect 3),,Write-in 80,,2,0,2,0
La Paz,057 SALOME,Board of Supervisors Dist. 3,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,Board of Supervisors Dist. 3,,Times Counted,,608,164,342,102
La Paz,057 SALOME,Board of Supervisors Dist. 3,,Times Blank Voted,,47,15,21,11
La Paz,057 SALOME,Board of Supervisors Dist. 3,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Board of Supervisors Dist. 3,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,Board of Supervisors Dist. 3,,"IRWIN, HOLLY",REP,321,66,197,58
La Paz,057 SALOME,Board of Supervisors Dist. 3,,"ZAKRAJSEK, GARY",IND,240,83,124,33
La Paz,057 SALOME,Board of Supervisors Dist. 3,,Write-in 30,,0,0,0,0
La Paz,057 SALOME,County Attorney,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,County Attorney,,Times Counted,,608,164,342,102
La Paz,057 SALOME,County Attorney,,Times Blank Voted,,49,17,21,11
La Paz,057 SALOME,County Attorney,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,County Attorney,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,County Attorney,,"FIELD, KATHY",REP,331,67,206,58
La Paz,057 SALOME,County Attorney,,"ROGERS, TONY",DEM,226,79,115,32
La Paz,057 SALOME,County Attorney,,Write-in 30,,2,1,0,1
La Paz,057 SALOME,Sheriff,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,Sheriff,,Times Counted,,608,164,342,102
La Paz,057 SALOME,Sheriff,,Times Blank Voted,,38,15,11,12
La Paz,057 SALOME,Sheriff,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Sheriff,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,Sheriff,,"RISEN, WILLIAM",REP,438,105,265,68
La Paz,057 SALOME,Sheriff,,"VIDRINE, FRANK",DEM,126,43,61,22
La Paz,057 SALOME,Sheriff,,Write-in 30,,6,1,5,0
La Paz,057 SALOME,County Treasurer,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,County Treasurer,,Times Counted,,608,164,342,102
La Paz,057 SALOME,County Treasurer,,Times Blank Voted,,119,39,51,29
La Paz,057 SALOME,County Treasurer,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,County Treasurer,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,County Treasurer,,"CASTRO, LEAH",REP,486,123,290,73
La Paz,057 SALOME,County Treasurer,,Write-in 20,,3,2,1,0
La Paz,057 SALOME,County School Superintendent,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,County School Superintendent,,Times Counted,,608,164,342,102
La Paz,057 SALOME,County School Superintendent,,Times Blank Voted,,57,20,26,11
La Paz,057 SALOME,County School Superintendent,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,County School Superintendent,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,County School Superintendent,,"PRICE, JACQULINE",REP,377,89,227,61
La Paz,057 SALOME,County School Superintendent,,"HEREDIA, ARMANDO",DEM,174,55,89,30
La Paz,057 SALOME,County School Superintendent,,Write-in 30,,0,0,0,0
La Paz,057 SALOME,County Recorder,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,County Recorder,,Times Counted,,608,164,342,102
La Paz,057 SALOME,County Recorder,,Times Blank Voted,,132,41,59,32
La Paz,057 SALOME,County Recorder,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,County Recorder,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,County Recorder,,"BAKER, SHELLY",REP,472,121,281,70
La Paz,057 SALOME,County Recorder,,Write-in 20,,4,2,2,0
La Paz,057 SALOME,County Assessor,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,County Assessor,,Times Counted,,608,164,342,102
La Paz,057 SALOME,County Assessor,,Times Blank Voted,,137,43,61,33
La Paz,057 SALOME,County Assessor,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,County Assessor,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,County Assessor,,"CAMACHO, ANNA",REP,465,120,276,69
La Paz,057 SALOME,County Assessor,,Write-in 20,,6,1,5,0
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,Registered Voters,,781,0,0,0
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,Times Counted,,608,164,342,102
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,Times Blank Voted,,161,47,76,38
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,YES,,330,78,206,46
La Paz,057 SALOME,"Retain Justice TIMMER, ANN",,NO,,117,39,60,18
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,Registered Voters,,781,0,0,0
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,Times Counted,,608,164,342,102
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,Times Blank Voted,,166,49,77,40
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,YES,,327,81,199,47
La Paz,057 SALOME,"Retain Judge BROWN, MICHAEL J.",,NO,,115,34,66,15
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,Registered Voters,,781,0,0,0
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,Times Counted,,608,164,342,102
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,Times Blank Voted,,169,50,79,40
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,YES,,327,80,202,45
La Paz,057 SALOME,"Retain Judge JONES, KENTON",,NO,,112,34,61,17
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,Registered Voters,,781,0,0,0
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,Times Counted,,608,164,342,102
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,Times Blank Voted,,177,54,83,40
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,YES,,324,78,202,44
La Paz,057 SALOME,"Retain Judge THOMPSON, JON W.",,NO,,107,32,57,18
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,Registered Voters,,770,0,0,0
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,Times Counted,,601,163,337,101
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,Times Blank Voted,,124,37,64,23
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,Number of Under Votes,,175,54,92,29
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,"DALTON, PAULINE",,267,72,154,41
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,"GERMAN, CONNIE",,311,76,182,53
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,"MCDANIEL, BROOKS",,199,50,118,31
La Paz,057 SALOME,Salome Consolidated School Dist. 30 (Elect 2),,Write-in 50,,2,0,0,2
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,Registered Voters,,11,0,0,0
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,Times Counted,,7,1,5,1
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,Times Blank Voted,,1,0,1,0
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,YES,,5,0,4,1
La Paz,057 SALOME,Wenden Maintenance and Operation Budget,,NO,,1,1,0,0
La Paz,057 SALOME,Proposition 205,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,Proposition 205,,Times Counted,,608,164,342,102
La Paz,057 SALOME,Proposition 205,,Times Blank Voted,,41,10,22,9
La Paz,057 SALOME,Proposition 205,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Proposition 205,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,Proposition 205,,YES,,220,64,111,45
La Paz,057 SALOME,Proposition 205,,NO,,347,90,209,48
La Paz,057 SALOME,Proposition 206,,Registered Voters,,781,0,0,0
La Paz,057 SALOME,Proposition 206,,Times Counted,,608,164,342,102
La Paz,057 SALOME,Proposition 206,,Times Blank Voted,,48,12,25,11
La Paz,057 SALOME,Proposition 206,,Times Over Voted,,0,0,0,0
La Paz,057 SALOME,Proposition 206,,Number of Under Votes,,0,0,0,0
La Paz,057 SALOME,Proposition 206,,YES,,271,68,162,41
La Paz,057 SALOME,Proposition 206,,NO,,289,84,155,50
La Paz,058 QUARTZSITE TWO,President,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,President,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,President,,Times Blank Voted,,8,2,5,1
La Paz,058 QUARTZSITE TWO,President,,Times Over Voted,,4,0,2,2
La Paz,058 QUARTZSITE TWO,President,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,President,,TRUMP / PENCE,REP,551,177,271,103
La Paz,058 QUARTZSITE TWO,President,,CLINTON / KAINE,DEM,149,44,74,31
La Paz,058 QUARTZSITE TWO,President,,JOHNSON / WELD,LIB,32,4,23,5
La Paz,058 QUARTZSITE TWO,President,,STEIN / BARAKA,GRN,10,4,5,1
La Paz,058 QUARTZSITE TWO,President,,Write-in,,7,1,3,3
La Paz,058 QUARTZSITE TWO,U.S. Senate,,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,U.S. Senate,,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,U.S. Senate,,Times Blank Voted,,32,12,16,4
La Paz,058 QUARTZSITE TWO,U.S. Senate,,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,U.S. Senate,,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,U.S. Senate,,"MCCAIN, JOHN",REP,447,136,228,83
La Paz,058 QUARTZSITE TWO,U.S. Senate,,"KIRKPATRICK, ANN",DEM,196,63,91,42
La Paz,058 QUARTZSITE TWO,U.S. Senate,,"SWING, GARY",GRN,71,18,39,14
La Paz,058 QUARTZSITE TWO,U.S. Senate,,Write-in,,15,3,9,3
La Paz,058 QUARTZSITE TWO,U.S. House,4,Registered Voters,,1003,0,0,0
La Paz,058 QUARTZSITE TWO,U.S. House,4,Times Counted,,761,232,383,146
La Paz,058 QUARTZSITE TWO,U.S. House,4,Times Blank Voted,,66,27,24,15
La Paz,058 QUARTZSITE TWO,U.S. House,4,Times Over Voted,,0,0,0,0
La Paz,058 QUARTZSITE TWO,U.S. House,4,Number of Under Votes,,0,0,0,0
La Paz,058 QUARTZSITE TWO,U.S. House,4,"GOSAR, PAUL",REP,503,153,262,88
